                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.1964,                0.61217,                0.95451,                0.96522,                      1,                0.96682,                0.73517,                 1.0497,                0.55084,                 0.8245,              0.0008516,              0.0008516,              0.0008516
                     61,                  1.197,                0.60111,                0.94114,                0.94562,                      1,                0.97227,                0.72839,                 1.1392,                0.55298,                0.84384,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.2156,                0.59915,                0.95473,                0.94044,                0.98714,                0.96904,                0.74067,                 1.1519,                0.53791,                0.84959,               0.000812,               0.000812,               0.000812
                     63,                 1.2068,                0.59598,                0.94255,                0.96964,                0.99808,                0.96955,                0.74817,                 1.0388,                0.49113,                0.82095,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.2752,                0.64161,                0.94034,                0.94031,                      1,                0.96186,                 0.7065,                 1.1883,                0.53787,                0.85548,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.1712,                0.60195,                0.94465,                0.91137,                      1,                0.96241,                0.72808,                 1.0069,                0.54055,                0.84525,              0.0007526,              0.0007526,              0.0007526
                     66,                  1.202,                0.59516,                0.96055,                0.91115,                      1,                0.96199,                0.72398,                 1.0518,                0.54955,                0.83854,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.1381,                 0.5872,                0.93308,                0.96513,                      1,                0.97439,                0.74395,                 1.0034,                0.52769,                0.83297,               0.000713,               0.000713,               0.000713
                     68,                  1.228,                0.62191,                0.92833,                0.96367,                      1,                0.97985,                0.73664,                 1.0541,                0.52022,                0.83923,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.2165,                0.58801,                0.92568,                0.96594,                      1,                 0.9847,                0.78285,                 1.0183,                0.50161,                 0.8201,              0.0006734,              0.0006734,              0.0006734
                     70,                   1.12,                0.61575,                0.95035,                0.96312,                      1,                0.97894,                0.71849,                   1.01,                 0.5102,                0.84188,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.1449,                0.58792,                0.95163,                0.95867,                      1,                0.97348,                0.75132,                 1.0103,                0.46471,                0.82225,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.1596,                0.58653,                0.94495,                0.90288,                0.96875,                0.96603,                 0.7167,                 1.1405,                0.49941,                0.84183,               0.000614,               0.000614,               0.000614
                     73,                 1.1592,                0.55517,                0.92886,                0.96471,                      1,                0.98106,                0.74596,                 1.0745,                0.47445,                0.83112,              0.0005942,              0.0005942,              0.0005942
